date,average_price
2015-01-04,1.0166666666666666
2015-01-11,1.1231111111111112
2015-01-18,1.1431111111111112
2015-01-25,1.1264444444444444
2015-02-01,0.9675555555555556
2015-02-08,1.0402222222222222
2015-02-15,1.1413333333333333
2015-02-22,1.1102222222222222
2015-03-01,1.0435555555555556
2015-03-08,1.116
2015-03-15,1.1497777777777778
2015-03-22,1.0642222222222222
2015-03-29,1.1091111111111112
2015-04-05,1.1408888888888888
2015-04-12,1.102
2015-04-19,1.1057777777777777
2015-04-26,1.1451111111111112
2015-05-03,1.0233333333333334
2015-05-10,1.11
2015-05-17,1.1322222222222222
2015-05-24,1.1002222222222222
2015-05-31,1.1286666666666667
2015-06-07,1.0855555555555556
2015-06-14,1.0895555555555556
2015-06-21,1.084
2015-06-28,1.1208888888888888
2015-07-05,1.1139999999999999
2015-07-12,1.1173333333333333
2015-07-19,1.118
2015-07-26,1.1324444444444444
2015-08-02,1.1484444444444444
2015-08-09,1.0908888888888888
2015-08-16,1.1122222222222222
2015-08-23,1.1315555555555556
2015-08-30,1.1286666666666667
2015-09-06,1.0806666666666667
2015-09-13,1.0866666666666667
2015-09-20,1.0733333333333333
2015-09-27,1.0875555555555556
2015-10-04,1.072
2015-10-11,1.045111111111111
2015-10-18,1.0575555555555556
2015-10-25,1.0988888888888888
2015-11-01,1.012888888888889
2015-11-08,1.035111111111111
2015-11-15,1.020888888888889
2015-11-22,1.0384444444444445
2015-11-29,1.051111111111111
2015-12-06,0.9771111111111112
2015-12-13,0.9953333333333333
2015-12-20,1.0584444444444445
2015-12-27,1.018888888888889
2016-01-03,0.9477777777777778
2016-01-10,0.9977777777777778
2016-01-17,1.0224444444444445
2016-01-24,0.9975555555555555
2016-01-31,0.9908888888888889
2016-02-07,0.8295555555555556
2016-02-14,0.9573333333333334
2016-02-21,1.0102222222222221
2016-02-28,0.9786666666666667
2016-03-06,1.0206666666666666
2016-03-13,0.98
2016-03-20,1.009111111111111
2016-03-27,1.012
2016-04-03,0.9902222222222222
2016-04-10,0.9722222222222222
2016-04-17,0.9666666666666667
2016-04-24,0.9304444444444444
2016-05-01,0.8955555555555555
2016-05-08,0.88
2016-05-15,0.9282222222222223
2016-05-22,1.002
2016-05-29,0.9997777777777778
2016-06-05,1.0257777777777777
2016-06-12,1.1028888888888888
2016-06-19,1.0755555555555556
2016-06-26,1.1002222222222222
2016-07-03,1.0957777777777777
2016-07-10,1.1408888888888888
2016-07-17,1.1866666666666668
2016-07-24,1.2446666666666666
2016-07-31,1.2742222222222221
2016-08-07,1.2193333333333334
2016-08-14,1.1742222222222223
2016-08-21,1.1817777777777778
2016-08-28,1.1773333333333333
2016-09-04,1.1433333333333333
2016-09-11,1.14
2016-09-18,1.2075555555555555
2016-09-25,1.2775555555555556
2016-10-02,1.296
2016-10-09,1.316888888888889
2016-10-16,1.330888888888889
2016-10-23,1.3768888888888888
2016-10-30,1.4453333333333334
2016-11-06,1.478
2016-11-13,1.4055555555555557
2016-11-20,1.3437777777777777
2016-11-27,1.2966666666666666
2016-12-04,1.1122222222222222
2016-12-11,1.0786666666666667
2016-12-18,1.0544444444444445
2016-12-25,1.0944444444444443
2017-01-01,0.9891111111111112
2017-01-08,1.0617777777777777
2017-01-15,1.0922222222222222
2017-01-22,1.026
2017-01-29,1.0673333333333332
2017-02-05,0.8664444444444445
2017-02-12,0.9591111111111111
2017-02-19,1.1142222222222222
2017-02-26,1.1
2017-03-05,1.2004444444444444
2017-03-12,1.3186666666666667
2017-03-19,1.334
2017-03-26,1.334
2017-04-02,1.34
2017-04-09,1.3155555555555556
2017-04-16,1.3324444444444445
2017-04-23,1.3066666666666666
2017-04-30,1.2795555555555556
2017-05-07,1.1673333333333333
2017-05-14,1.2864444444444445
2017-05-21,1.324
2017-05-28,1.3484444444444443
2017-06-04,1.3411111111111111
2017-06-11,1.3071111111111111
2017-06-18,1.2737777777777777
2017-06-25,1.2355555555555555
2017-07-02,1.2617777777777777
2017-07-09,1.2333333333333334
2017-07-16,1.3704444444444444
2017-07-23,1.3655555555555556
2017-07-30,1.3771111111111112
2017-08-06,1.3813333333333333
2017-08-13,1.4195555555555555
2017-08-20,1.4693333333333334
2017-08-27,1.5017777777777779
2017-09-03,1.6222222222222222
2017-09-10,1.6226666666666667
2017-09-17,1.6162222222222222
2017-09-24,1.6624444444444444
2017-10-01,1.7075555555555555
2017-10-08,1.7233333333333334
2017-10-15,1.6302222222222222
2017-10-22,1.505111111111111
2017-10-29,1.356
2017-11-05,1.287111111111111
2017-11-12,1.2313333333333334
2017-11-19,1.2484444444444445
2017-11-26,1.3053333333333332
2017-12-03,1.1546666666666667
2017-12-10,1.0968888888888888
2017-12-17,1.1582222222222223
2017-12-24,1.256888888888889
2017-12-31,1.0373333333333334
2018-01-07,1.1775555555555555
2018-01-14,1.2637777777777777
2018-01-21,1.1204444444444444
2018-01-28,1.1737777777777778
2018-02-04,0.9262222222222222
2018-02-11,1.054888888888889
2018-02-18,1.1782222222222223
2018-02-25,1.1422222222222222
2018-03-04,1.1486666666666667
2018-03-11,1.1457777777777778
2018-03-18,1.0973333333333333
2018-03-25,1.1528888888888889
